ID,题目,难度,已解,推荐指数,Tags,github
189,189A - Cut Ribbon,1300,Yes,⭐⭐⭐,"brute force, dp",No
224,224B - Array,1500,Yes,⭐⭐⭐,"bitmasks, implementation, sliding wingdow, two pointers",No
166,166C - Median,1500,Yes,⭐⭐⭐,"binary search, greedy, math, sortings",No
1420,1420A - Cubes Sorting,900,Yes,⭐⭐⭐,"math, sortings",No
1463,1463A - Dungeon,1100,Yes,⭐⭐⭐,"binary search, math",No
1463,1463B - Find The Array,1400,Yes,⭐⭐⭐⭐,"bitmasks, constructive algorithms, greedy",No
1461,1461B - Find the Spruce,1400,Yes,⭐⭐⭐,"brute force, dp, implementation",No
1455,1455B - Jumps,1200,Yes,⭐⭐⭐,"constructive algorithms, math",No
1454,1454A - Special Permutation,,No,,,No
1454,1454B - Unique Bid Auction,,No,,,No
1454,1454C - Sequence Transformation,,No,,,No
1454,1454D - Number into Sequence,,No,,,No
1453,1453A - Cancel the Trains,,Yes,⭐⭐,,No
1453,1453B - Suffix Operations,1400,Yes,⭐⭐⭐⭐,"constructive algorithms, implementation",No
1452,1452A. Robot Program,800,Yes,⭐⭐,math,No
1452,1452B. Toy Blocks,1400,Yes,⭐⭐⭐,"binary search, greedy, math, sortings",No
1452,1452C. Two Brackets,800,Yes,⭐⭐,greedy,No
1452,1452D. Radio Towers,1600,Yes,⭐⭐⭐⭐,"combinatorics, dp, math",No
1451,1451A - Subtract or Divide,800,Yes,⭐⭐⭐,"greedy, math",No
1451,1451B - Non-Substring Subsequence,,No,,,No
1451,1451C. String Equality,,Yes,⭐⭐⭐⭐,"dp, greedy, hashing, implementation, strings",No
1447,1447A - Add Candies,800,Yes,⭐⭐⭐,"constructive algorithms, math, 反向思维",No
1437,1437A - Marketing Scheme,800,Yes,⭐⭐⭐,"brute force, constructive algorithms, greedy, math",No
1400,1400A - String Similarity,,Yes,⭐⭐⭐,,No
1393,"1393A - Rainbow Dash, Fluttershy and Chess Coloring",,Yes,⭐⭐⭐,,No
1337,1337B - Kana and Dragon Quest game,900,Yes,⭐⭐⭐,"greedy, implementation, math",No
1136,1136A - Nastya Is Reading a Book,800,Yes,⭐⭐⭐,"binary search, implementation",No
1102,1102A - Integer Sequence Dividing,800,Yes,⭐⭐⭐,math,No
750,750A - New Year and Hurry,800,Yes,⭐⭐⭐,"binary search, brute force, implementation, math",No
706,706B - Interesting drink,1100,Yes,⭐⭐⭐,"binary search, dp, implementation",No
580,580A - Kefa and First Steps,,Yes,⭐⭐⭐,,No
520,520B - Two Buttons,1400,Yes,⭐⭐⭐,"dfs and similar, graphs, greedy, implementation, math, shortest paths",No
489,489B - BerSU Ball,1200,Yes,⭐⭐⭐,"dfs and similar, dp, graph matchings, greedy, sortings, two pointers",No
489,489C - Given Length and Sum of Digits...,1400,Yes,⭐⭐⭐,"dp, greedy, implementation",No
472,472A - Design Tutorial: Learn from Math,,Yes,⭐⭐,,No
460,460A - Vasya and Socks,900,Yes,⭐⭐⭐,"brute force, implementation, math",No
459,459B. Pashmak and Flowers,1300,Yes,⭐⭐,"combinatorics, implementation, sortings",No
455,455A - Boredom,1500,Yes,⭐⭐⭐,dp,Yes
453,453A. Little Pony and Expected Maximum,1600,Yes,⭐⭐⭐⭐,probabilities,No
432,432A. Choosing Teams,800,Yes,⭐⭐,"greedy, implementation, sortings",No
401,401A. Vanya and Cards,800,Yes,⭐⭐,"implementation, math",No
353,353A - Domino,1200,Yes,⭐⭐⭐,"implementation, math",No
349,349A. Cinema Line,1100,Yes,⭐⭐,"greedy, implementation",No
339,339B. Xenia and Ringroad,1000,Yes,⭐⭐,implementation,No
337,337A. Puzzles,900,Yes,⭐⭐,greedy,No
330,330A. Cakeminator,800,Yes,⭐⭐,"brute force, implementation",No
327,327A - Flipping Game,1200,Yes,⭐⭐⭐,"brute force, dp, implementation",No
320,320A. Magic Numbers,900,Yes,⭐⭐,"brute force, greedy",No
313,313A. Ilya and Bank Account,900,Yes,⭐⭐,"implementation, number theory",No
313,313B - Ilya and Queries,1100,Yes,⭐⭐⭐,"dp, implementation",No
300,300A. Array,1100,Yes,⭐⭐,"brute force, constructive algorithms, implementation",No
285,285C. Building Permutation,1200,Yes,⭐⭐⭐,"greedy, implementation, sortings",No
276,276A. Lunch Rush,900,Yes,⭐⭐,implementation,No
276,276B. Little Girl and Game,1300,Yes,⭐⭐⭐,"games, greedy",No
271,271A. Beautiful Year,800,Yes,⭐⭐⭐⭐,brute force,No
266,266A. Stones on the Table,800,Yes,⭐⭐,implementation,No
266,266B. Queue at the School,800,Yes,⭐⭐,"constructive algorithms, graph matchings, implementation, shortest paths",No
259,259A. Little Elephant and Chess,1000,Yes,⭐⭐,"brute force, strings",No
257,257B. Playing Cubes,1300,Yes,⭐⭐⭐⭐,"games, greedy, implementation",Yes
253,253A. Boys and Girls,1100,Yes,⭐⭐,greedy,No
251,251A. Points on Line,1300,Yes,⭐⭐⭐⭐,"binary search, combinatorics, two pointers",No
244,244A. Dividing Orange,900,Yes,⭐⭐,implementation,No
242,242A. Heads or Tails,1100,Yes,⭐⭐,"brute force, implementation",No
242,242B. Big Segment,1000,Yes,⭐⭐,"implementation, sortings",No
239,239A. Two Bags of Potatoes,1200,Yes,⭐⭐,"greedy, implementation, math",No
236,236A. Boy or Girl,800,Yes,⭐⭐,"brute force, implementation, strings",No
230,230A. Dragons,1000,Yes,⭐⭐,"greedy, sortings",No
224,224A. Parallelepiped,1100,Yes,⭐⭐⭐⭐,"brute force, geometry, math",No
222,222B. Cosmic Tables,1300,Yes,⭐⭐⭐,"data structures, implementation",No
219,219A. k-String,1000,Yes,⭐⭐,"implementation, strings",No
217,217A. Ice Skating,1200,Yes,⭐⭐⭐,"brute force, dfs and similar, dsu, graphs",No
208,208A. Dubstep,900,Yes,⭐⭐,strings,No
200,200B. Drinks,800,Yes,⭐⭐,"implementation, math",No
166,166A. Rank List,1100,Yes,⭐⭐⭐,"binary search, implementation, sortings",No
160,160A. Twins,900,Yes,⭐⭐,"greedy, sortings",No
158,158B. Taxi,1100,Yes,⭐⭐⭐,"greedy, implementation, special problem",No
155,155A. I_love_%username%,800,Yes,⭐⭐,brute force,No
152,152A. Marks,900,Yes,⭐⭐,implementation,No
148,148A. Insomnia cure,800,Yes,⭐⭐,"constructive algorithms, implementation, math",No
141,141A. Amusing Joke,800,Yes,⭐⭐,"implementation, sortings, strings",No
137,137B. Permutation,1000,Yes,⭐⭐,greedy,No
136,136A. Presents,800,Yes,⭐⭐,implementation,No
122,122A. Lucky Division,1000,Yes,⭐⭐,"brute force, number theory",No
118,118A. String Task,1000,Yes,⭐⭐,"implementation, strings",No
118,118B. Present from Lena,1000,Yes,⭐⭐,"constructive algorithms, implementation",No
116,116A. Tram,800,Yes,⭐⭐,implementation,No
112,112A. Petya and Strings,800,Yes,⭐⭐,"implementation, strings",No
110,110A. Nearly Lucky Number,800,Yes,⭐⭐,implementation,No
109,109A. Lucky Sum of Digits,1000,Yes,⭐⭐⭐,"brute force, implementation",No
96,96A. Football,900,Yes,⭐⭐,"implementation, strings",No
71,71A. Way Too Long Words,800,Yes,⭐⭐,strings,No
58,58A. Chat room,1000,Yes,⭐⭐,"greedy, strings",No
